Date,2016/09/28,
Time,16:00:00,
Memo,EKO WISER,
Sensor,MS-711,
Exposure Time(msec),200,
Sensor Temp.(deg),25.3,
Power(V),5.9,
Wavelength(nm),Irradiance(W/m2/um),
657.00,811.24,
657.42,813.75,
657.83,817.28,
658.24,824.63,
658.66,830.75,
659.07,836.04,
659.48,843.30,
659.90,849.76,
660.31,855.45,
660.72,858.96,
661.14,861.32,
661.55,863.00,
661.96,863.19,
662.38,864.23,
662.79,864.52,
663.20,865.29,
663.62,867.44,
664.03,868.38,
664.44,867.21,
664.85,866.49,
665.27,867.21,
665.68,867.18,
666.09,865.38,
666.51,864.74,
666.92,865.68,
667.33,865.25,
667.75,864.41,
668.16,865.66,
668.57,865.26,
668.99,865.02,
669.40,864.41,
669.81,863.88,
670.23,863.03,
670.64,862.15,
671.05,862.03,
671.46,860.86,
671.88,860.25,
672.29,861.37,
672.70,861.94,
673.12,861.26,
673.53,861.15,
673.94,861.44,
674.35,860.56,
674.77,858.61,
675.18,858.43,
675.59,859.92,
676.01,859.50,
676.42,859.09,
676.83,859.09,
677.24,858.18,
677.66,858.40,
678.07,858.44,
678.48,857.30,
678.89,855.98,
679.31,855.05,
679.72,854.32,
680.13,853.15,
680.55,851.91,
680.96,852.48,
681.37,849.74,
681.78,844.55,
682.20,839.11,
682.61,833.34,
683.02,827.20,
683.43,819.60,
683.85,811.19,
684.26,801.05,
684.67,790.35,
685.08,779.80,
685.50,770.92,
685.91,762.39,
686.32,755.28,
686.73,747.73,
687.15,739.72,
687.56,734.38,
687.97,730.71,
688.38,728.57,
688.79,725.46,
689.21,723.74,
689.62,726.07,
690.03,727.14,
690.44,728.45,
690.86,729.71,
691.27,731.82,
691.68,732.67,
692.09,730.74,
692.50,731.30,
692.92,732.83,
693.33,734.10,
693.74,734.68,
694.15,735.96,
694.57,737.10,
694.98,740.51,
695.39,742.27,
695.80,741.96,
696.21,741.46,
696.63,741.95,
697.04,744.23,
697.45,744.37,
697.86,744.15,
698.27,748.70,
698.69,747.70,
699.10,745.95,
699.51,744.31,
699.92,744.39,
700.33,743.90,
700.75,742.51,
701.16,742.13,
701.57,743.29,
701.98,742.90,
702.39,744.08,
702.80,747.51,
703.22,750.51,
703.63,756.11,
704.04,761.17,
704.45,763.25,
704.86,765.60,
705.27,769.13,
705.69,772.66,
706.10,772.78,
706.51,773.39,
706.92,778.62,
707.33,779.09,
707.74,779.60,
708.16,781.14,
708.57,783.48,
708.98,784.33,
709.39,782.53,
709.80,781.06,
710.21,779.21,
710.63,775.46,
711.04,773.05,
711.45,770.00,
711.86,764.66,
712.27,761.86,
712.68,754.53,
713.09,741.99,
713.51,729.38,
713.92,715.03,
714.33,700.09,
714.74,681.51,
715.15,664.10,
715.56,650.38,
715.97,633.28,
716.38,616.40,
716.80,602.97,
717.21,591.50,
717.62,580.79,
718.03,573.43,
718.44,567.14,
718.85,562.57,
719.26,560.53,
719.67,561.47,
720.08,562.83,
720.50,565.06,
720.91,572.35,
721.32,576.76,
721.73,576.54,
722.14,578.81,
722.55,582.47,
722.96,584.61,
723.37,582.23,
723.78,582.33,
724.19,582.01,
724.61,578.63,
725.02,574.62,
725.43,572.75,
725.84,571.16,
726.25,570.89,
726.66,570.81,
727.07,570.49,
727.48,570.21,
727.89,572.98,
728.30,577.39,
728.71,581.40,
729.12,588.06,
729.54,599.57,
729.95,606.67,
730.36,613.05,
730.77,621.27,
731.18,631.97,
731.59,641.46,
732.00,648.09,
732.41,658.04,
732.82,669.51,
733.23,677.02,
733.64,683.85,
734.05,690.84,
734.46,697.27,
734.87,704.12,
735.28,707.76,
735.69,709.54,
736.10,713.21,
736.51,714.01,
736.93,717.29,
737.34,717.94,
737.75,722.11,
738.16,728.25,
738.57,731.36,
738.98,732.27,
739.39,734.39,
739.80,740.02,
740.21,745.37,
740.62,748.19,
741.03,752.31,
741.44,756.96,
741.85,759.40,
742.26,761.83,
742.67,764.85,
743.08,769.48,
743.49,772.98,
743.90,773.61,
744.31,773.34,
744.72,773.56,
745.13,773.16,
745.54,774.53,
745.95,773.02,
746.36,771.73,
746.77,774.58,
747.18,774.19,
747.59,771.13,
748.00,769.46,
748.41,769.41,
748.82,770.20,
749.23,764.54,
749.64,764.28,
750.05,766.16,
750.46,762.46,
750.87,760.48,
751.28,760.49,
751.69,760.80,
752.10,760.48,
752.51,760.96,
752.92,757.17,
753.33,753.73,
753.74,749.56,
754.15,746.84,
754.56,737.34,
754.96,727.80,
755.37,719.10,
755.78,700.73,
756.19,675.94,
756.60,651.96,
757.01,623.89,
757.42,592.13,
757.83,557.64,
758.24,523.94,
758.65,493.12,
759.06,459.88,
759.47,431.43,
759.88,404.34,
760.29,380.99,
760.70,360.37,
761.11,345.24,
761.52,334.14,
761.92,329.87,
762.33,333.41,
762.74,344.13,
763.15,357.59,
763.56,378.46,
763.97,405.43,
764.38,431.78,
764.79,454.65,
765.20,482.61,
765.61,508.67,
766.02,536.20,
766.43,562.01,
766.83,588.22,
767.24,614.09,
767.65,631.87,
768.06,650.85,
768.47,664.92,
768.88,678.93,
769.29,693.49,
769.70,704.97,
770.11,711.41,
770.52,716.22,
770.92,721.48,
771.33,726.89,
771.74,727.61,
772.15,730.77,
772.56,735.01,
772.97,735.11,
773.38,733.40,
773.79,734.40,
774.19,736.94,
774.60,740.81,
775.01,742.26,
775.42,743.96,
775.83,743.59,
776.24,741.67,
776.65,742.41,
777.05,741.53,
777.46,740.28,
777.87,742.95,
778.28,743.76,
778.69,740.33,
779.10,737.95,
779.50,737.93,
779.91,738.60,
780.32,734.95,
780.73,735.03,
781.14,737.05,
781.55,733.57,
781.95,730.32,
782.36,727.38,
782.77,725.91,
783.18,725.49,
783.59,723.82,
784.00,719.17,
784.40,715.81,
784.81,710.99,
785.22,708.64,
785.63,701.03,
786.04,697.97,
786.44,697.48,
786.85,693.38,
787.26,687.01,
787.67,682.54,
788.08,678.61,
788.48,678.65,
788.89,672.50,
789.30,673.25,
789.71,674.76,
790.12,671.89,
790.52,669.06,
790.93,667.23,
791.34,667.72,
791.75,669.74,
792.15,668.35,
792.56,665.81,
792.97,667.72,
793.38,665.79,
793.78,664.52,
794.19,663.18,
794.60,664.81,
795.01,671.39,
795.42,668.66,
795.82,666.32,
796.23,666.49,
796.64,666.68,
797.05,668.14,
797.45,666.15,
797.86,667.04,
798.27,670.81,
798.67,668.86,
799.08,665.28,
799.49,663.73,
799.90,666.01,
800.30,669.43,
800.71,668.98,
801.12,666.33,
801.53,666.84,
801.93,665.26,
802.34,664.93,
802.75,661.98,
803.15,664.60,
803.56,669.14,
803.97,670.11,
804.38,667.69,
804.78,669.25,
805.19,670.04,
805.60,671.18,
806.00,670.45,
806.41,668.05,
806.82,667.86,
807.22,662.04,
807.63,656.98,
808.04,649.97,
808.44,645.56,
808.85,641.33,
809.26,633.29,
809.67,622.54,
810.07,611.39,
810.48,599.66,
810.89,587.48,
811.29,572.96,
811.70,560.02,
812.11,547.65,
812.51,534.96,
812.92,520.08,
813.32,507.77,
813.73,496.43,
814.14,487.82,
814.54,477.96,
814.95,471.43,
815.36,468.02,
815.76,461.80,
816.17,458.32,
816.58,455.82,
816.98,456.43,
817.39,461.52,
817.79,464.94,
818.20,465.05,
