
14.12.2015	12:28:03
V	I	G
[V]	[A]	[W/m²]
3,0024	0,1158	57,4371
3,1983	0,1157	57,4725
2,5047	0,1167	57,4725
3,3460	0,1158	57,4371
2,9446	0,1165	57,3661
3,4488	0,1160	57,4016
3,4199	0,1154	57,3307
3,5034	0,1153	57,3661
3,5612	0,1146	57,4016
3,6446	0,1148	57,4371
3,7699	0,1147	57,4725
3,8470	0,1160	57,3307
3,9240	0,1160	57,1534
3,9658	0,1160	56,9761
3,9497	0,1154	56,9052
3,4552	0,1157	56,9761
4,0878	0,1144	57,1534
4,0589	0,1146	57,2952
4,2419	0,1146	57,4725
4,2997	0,1152	57,5789
4,4217	0,1155	57,6143
4,4731	0,1157	57,4725
4,5470	0,1153	57,3661
4,4603	0,1154	57,2952
4,5727	0,1148	57,1889
4,5823	0,1144	57,2243
4,7204	0,1146	57,4016
4,8199	0,1146	57,4725
4,9131	0,1152	57,5789
5,0158	0,1155	57,4016
4,8135	0,1158	57,2952
5,0415	0,1153	57,0471
4,4250	0,1152	56,9407
5,1346	0,1146	57,0471
4,6337	0,1142	57,1180
5,2823	0,1138	57,3307
5,4076	0,1144	57,4725
5,5167	0,1148	57,4725
5,5649	0,1149	57,4016
5,6195	0,1153	57,2952
5,6677	0,1147	57,2243
5,7030	0,1144	57,1534
5,6901	0,1143	57,1889
5,6131	0,1142	57,4016
5,8443	0,1142	57,5080
5,0415	0,1146	57,5789
6,0626	0,1142	57,6498
6,0562	0,1147	57,4725
6,1782	0,1152	57,4016
6,1750	0,1146	57,1889
6,2457	0,1142	57,1180
6,2874	0,1135	57,0825
6,3420	0,1137	57,1534
6,3741	0,1135	57,2952
6,5604	0,1143	57,4016
6,6278	0,1146	57,3307
6,7145	0,1155	57,2952
6,7627	0,1146	57,1889
6,6695	0,1146	57,1534
6,8108	0,1138	57,0825
6,3934	0,1138	57,1180
6,9264	0,1131	57,3307
6,3420	0,1136	57,4725
7,0774	0,1133	57,6143
7,0099	0,1146	57,6852
7,2957	0,1140	57,6498
7,3214	0,1146	57,4371
7,3856	0,1142	57,3661
7,4049	0,1136	57,1534
7,4402	0,1136	57,0825
7,4466	0,1138	57,0471
7,5558	0,1136	57,0825
7,5944	0,1131	57,1534
6,4512	0,1138	57,2952
7,8095	0,1135	57,3307
7,3953	0,1142	57,2952
7,9733	0,1143	57,4016
7,9925	0,1143	57,2952
8,0568	0,1137	57,1534
8,0824	0,1135	57,1180
8,1178	0,1129	57,1889
8,1242	0,1129	57,1534
8,2109	0,1131	57,3307
8,2912	0,1130	57,4725
8,4196	0,1126	57,5789
8,5160	0,1135	57,6143
8,5545	0,1136	57,6143
8,6605	0,1136	57,5080
8,5320	0,1137	57,3307
8,7825	0,1135	57,2952
8,6572	0,1130	57,1534
8,8210	0,1130	57,0471
8,2880	0,1130	57,0471
8,9045	0,1126	57,1534
8,8435	0,1126	57,2243
9,0779	0,1127	57,4016
9,2031	0,1130	57,4371
9,2385	0,1135	57,4371
9,3380	0,1133	57,3307
9,3894	0,1135	57,1889
9,4119	0,1129	57,0825
9,2866	0,1133	57,1534
9,4568	0,1125	57,2952
8,9784	0,1121	57,3307
9,5981	0,1117	57,5789
9,1678	0,1126	57,6143
9,7908	0,1120	57,6143
9,8646	0,1129	57,6143
9,9545	0,1131	57,4725
10,0220	0,1133	57,3307
10,0766	0,1130	57,1180
10,0958	0,1135	56,9761
10,1376	0,1126	56,9052
10,1247	0,1121	56,8698
10,1890	0,1124	57,0471
10,2821	0,1119	57,1889
10,2371	0,1119	57,3661
10,4876	0,1119	57,4725
10,5069	0,1130	57,5080
10,6449	0,1126	57,4725
10,6738	0,1130	57,3307
10,6931	0,1127	57,2952
10,7092	0,1129	57,1889
10,8119	0,1121	57,1180
10,7798	0,1120	57,1180
10,8761	0,1115	57,1889
10,9757	0,1115	57,4016
11,0720	0,1113	57,5080
11,1651	0,1124	57,5789
11,0945	0,1130	57,5080
11,3096	0,1125	57,3307
11,2454	0,1119	57,0825
11,3642	0,1117	56,9407
10,4041	0,1113	56,9407
11,4124	0,1111	57,0825
11,3096	0,1111	57,2952
11,6211	0,1116	57,4016
11,7303	0,1117	57,4371
11,7945	0,1124	57,4016
11,8684	0,1119	57,3661
11,9133	0,1124	57,2243
11,9422	0,1113	57,1889
11,9551	0,1117	57,1889
11,9968	0,1115	57,1889
11,2197	0,1110	57,3307
12,0932	0,1110	57,4371
12,1413	0,1108	57,5080
12,3051	0,1110	57,6143
12,3565	0,1113	57,5789
12,4689	0,1110	57,4371
12,3629	0,1116	57,1534
12,4913	0,1117	57,0471
12,4849	0,1109	56,8698
12,5877	0,1108	56,9052
12,6262	0,1108	56,9761
12,7033	0,1106	57,1534
12,8382	0,1106	57,3661
12,8317	0,1115	57,4725
13,0083	0,1115	57,4725
12,9859	0,1115	57,4016
13,1368	0,1115	57,3661
13,0854	0,1113	57,1889
13,1464	0,1106	57,1534
13,0083	0,1105	57,1889
13,2588	0,1097	57,3307
13,2909	0,1100	57,4725
13,4643	0,1100	57,5789
13,5446	0,1106	57,5789
13,6409	0,1106	57,4371
13,6987	0,1113	57,3307
13,7309	0,1105	57,1889
13,7373	0,1105	57,0471
12,7450	0,1102	57,0471
13,8015	0,1099	57,0825
12,9891	0,1094	57,1889
14,0038	0,1099	57,3661
14,0841	0,1103	57,3661
14,1708	0,1108	57,3661
14,2318	0,1109	57,2952
14,2703	0,1106	57,1889
14,2800	0,1102	57,1180
14,3024	0,1098	57,2243
14,3153	0,1097	57,2952
14,3988	0,1098	57,3661
14,4855	0,1097	57,5789
14,4020	0,1090	57,6498
14,6910	0,1090	57,6498
14,6171	0,1103	57,5080
14,8355	0,1103	57,4371
14,7745	0,1099	57,1889
14,9222	0,1103	57,0825
14,9447	0,1094	56,9407
14,9768	0,1090	56,9407
14,9061	0,1086	56,9407
15,0827	0,1093	57,1889
15,1277	0,1086	57,3307
15,2722	0,1092	57,4725
15,3750	0,1094	57,4725
15,4295	0,1099	57,4371
15,5034	0,1102	57,3661
14,9093	0,1100	57,1889
15,5387	0,1092	57,1180
15,0538	0,1097	57,1534
15,5933	0,1086	57,3661
15,2401	0,1088	57,5789
15,7796	0,1086	57,6143
15,8823	0,1090	57,6143
15,9690	0,1089	57,5080
16,0332	0,1097	57,4016
16,0750	0,1089	57,2243
16,0878	0,1089	57,0825
16,1135	0,1088	56,9761
16,1264	0,1082	56,9761
16,0750	0,1082	57,1180
16,2741	0,1081	57,1889
15,4713	0,1088	57,2243
16,4796	0,1082	57,4371
16,4989	0,1092	57,4725
16,6241	0,1090	57,4016
16,6594	0,1084	57,3661
16,7333	0,1090	57,1889
16,7236	0,1083	57,1534
16,7750	0,1084	57,1534
16,7461	0,1082	57,1534
16,8521	0,1075	57,3307
16,9259	0,1078	57,5080
17,0383	0,1079	57,6143
17,1411	0,1081	57,6143
17,0448	0,1086	57,4725
17,2695	0,1084	57,3307
16,9420	0,1082	57,1180
17,3338	0,1083	57,0471
16,7076	0,1076	56,9052
17,3594	0,1076	56,9761
17,1636	0,1071	57,1534
17,5489	0,1073	57,3661
17,6741	0,1078	57,4016
17,7384	0,1082	57,4016
17,7769	0,1082	57,2243
17,8186	0,1082	57,1180
17,8507	0,1073	57,0825
17,8475	0,1076	57,1534
17,8796	0,1062	57,2243
16,9420	0,1071	57,3661
18,0595	0,1072	57,5789
17,6613	0,1072	57,6143
18,2586	0,1076	57,5080
18,3035	0,1076	57,3661
18,3421	0,1079	57,1889
18,3613	0,1071	57,0825
18,3999	0,1066	57,0825
18,4480	0,1060	57,1180
18,5026	0,1065	57,2243
18,5797	0,1066	57,2952
18,7113	0,1070	57,3307
18,7948	0,1071	57,3661
18,7499	0,1078	57,2243
18,8687	0,1067	57,1180
18,8173	0,1071	57,0825
18,9233	0,1066	57,1534
18,7145	0,1056	57,2952
19,0614	0,1057	57,4725
19,0421	0,1061	57,6143
19,2572	0,1066	57,5789
19,2733	0,1063	57,4371
19,3439	0,1062	57,2243
19,3600	0,1062	57,1889
19,3793	0,1055	57,1889
19,4435	0,1054	57,2952
19,5302	0,1055	57,4016
19,6265	0,1060	57,4016
19,5398	0,1062	57,2952
19,7871	0,1065	57,0825
19,1095	0,1063	56,9052
19,7967	0,1061	56,9052
19,4049	0,1048	57,0471
19,9091	0,1052	57,2243
