
03.10.2016	14:10:00
V	I	G
[V]	[A]	[W/m²]
20,1307	0,1141	818,5490
20,1564	0,1066	818,4781
20,1724	0,1019	818,4072
20,2013	0,0982	818,5135
20,1788	0,0912	818,4781
20,2334	0,0875	818,5490
20,2077	0,0831	818,6554
20,1756	0,0787	818,5135
20,2045	0,0741	818,4781
20,2334	0,0694	818,4781
20,1756	0,0679	818,4072
20,2077	0,0640	818,3717
20,2334	0,0626	818,4426
20,2559	0,0613	818,4781
20,2431	0,0584	818,5135
20,2463	0,0545	818,4781
20,2591	0,0528	818,5490
20,2045	0,0503	818,4426
20,2109	0,0486	818,4072
20,2366	0,0484	818,3717
20,2495	0,0477	818,4426
20,2431	0,0455	818,4072
20,2944	0,0442	818,4781
20,2816	0,0437	818,5490
20,2463	0,0415	818,5490
20,2463	0,0393	818,5135
20,2720	0,0376	818,4781
20,2527	0,0379	818,4781
20,2431	0,0359	818,3717
20,2720	0,0359	818,4426
20,2976	0,0364	818,4426
20,2816	0,0362	818,4781
20,2720	0,0332	818,4781
20,2912	0,0327	818,5135
20,2334	0,0327	818,4072
20,2174	0,0308	818,2299
20,2655	0,0308	818,2653
20,2752	0,0305	818,3363
20,2848	0,0315	818,3717
20,3073	0,0288	818,3717
20,2944	0,0293	818,4072
20,2976	0,0286	818,4781
20,2527	0,0266	818,3717
20,2591	0,0266	818,2299
20,2976	0,0276	818,3363
20,2784	0,0264	818,3363
20,3009	0,0264	818,3717
20,3233	0,0249	818,4072
20,3009	0,0259	818,4426
20,2848	0,0235	818,4072
20,2848	0,0230	818,3363
20,2687	0,0232	818,2653
20,2495	0,0235	818,2299
20,2687	0,0232	818,1590
20,3265	0,0230	818,2299
20,3041	0,0240	818,3363
20,3009	0,0213	818,3363
20,3041	0,0203	818,4072
20,3041	0,0210	818,4426
20,2944	0,0218	818,3363
20,2816	0,0200	818,2653
20,3041	0,0210	818,2653
20,2687	0,0218	818,2653
20,2687	0,0205	818,2299
20,3330	0,0203	818,3363
20,3298	0,0200	818,3363
20,2976	0,0186	818,2653
20,2848	0,0176	818,1590
20,2816	0,0186	818,1944
20,2944	0,0198	818,1590
20,3073	0,0193	818,1590
20,3458	0,0183	818,1590
20,3426	0,0196	818,1944
20,3201	0,0178	818,2299
20,3073	0,0164	818,1944
20,2976	0,0159	818,1944
20,3009	0,0176	818,1590
20,2976	0,0166	818,0881
20,3298	0,0164	818,1590
20,3009	0,0176	818,1944
20,2816	0,0176	818,1944
20,3169	0,0164	818,3363
20,3330	0,0161	818,3717
20,3169	0,0166	818,3717
20,3073	0,0142	818,2653
20,3073	0,0154	818,2653
20,3169	0,0147	818,2299
20,2976	0,0161	818,2653
20,3298	0,0149	818,2299
20,3651	0,0164	818,3717
20,3073	0,0154	818,3363
20,3201	0,0139	818,2299
20,3073	0,0132	818,1590
20,3330	0,0142	818,1590
20,2912	0,0142	818,0881
20,3394	0,0130	818,0881
20,3233	0,0156	818,1235
20,3169	0,0154	818,1944
20,3233	0,0142	818,1944
20,3458	0,0125	818,1590
20,3298	0,0127	818,1944
20,2976	0,0120	817,9817
20,3169	0,0120	818,0172
20,3265	0,0127	818,0172
20,3169	0,0149	818,1235
20,3490	0,0137	818,1235
20,3587	0,0127	818,2299
20,3233	0,0139	818,2299
20,3041	0,0117	818,1235
20,3105	0,0110	818,1590
20,3233	0,0120	818,1590
20,2848	0,0125	818,1590
20,3298	0,0117	818,1235
20,3554	0,0137	818,2299
20,3683	0,0127	818,2653
20,3201	0,0120	818,2653
20,3298	0,0103	818,1944
20,3233	0,0117	818,2299
20,2752	0,0112	818,1235
20,2944	0,0105	818,0172
20,3426	0,0112	818,0172
20,3394	0,0120	818,1235
20,3426	0,0117	818,1590
20,3490	0,0100	818,0881
20,3041	0,0103	818,0881
20,2687	0,0100	818,0172
20,3009	0,0110	818,0172
20,3651	0,0117	818,0172
20,3426	0,0120	818,1944
20,3490	0,0117	818,1944
20,3458	0,0105	818,2653
20,3522	0,0095	818,2653
20,3265	0,0093	818,1944
20,3073	0,0088	818,1235
20,3394	0,0093	818,1944
20,3201	0,0117	818,1944
20,3169	0,0100	818,1944
20,3683	0,0105	818,2653
20,3715	0,0108	818,3717
